start_datetime duration liters month hour day max_flow fixture
1559592216 25 1478 6 22 0 63 kitchenfaucet
1555396595 34 1478 4 8 1 47 washbasin
1557164167 18 1477 5 19 0 92 kitchenfaucet
1550474470 39 1475 2 8 0 40 washbasin
1560805835 27 1473 6 23 0 58 kitchenfaucet
1550823272 23 1471 2 9 4 69 washbasin
1571474110 20 1470 10 10 5 83 kitchenfaucet
1562427422 40 1465 7 17 5 38 bidet
1553617930 21 1463 3 17 1 74 kitchenfaucet
1551384226 21 1462 2 21 3 76 washbasin
1567874703 26 1461 9 18 5 63 bidet
1567193874 22 1460 8 21 4 69 bidet
1551528011 67 1460 3 13 5 24 kitchenfaucet
1553076128 37 1460 3 11 2 42 kitchenfaucet
1566198837 35 1460 8 9 0 45 kitchenfaucet
1571003328 26 1459 10 23 6 58 bidet
1562137141 52 1459 7 8 2 36 kitchenfaucet
1553419434 41 1459 3 10 6 40 washbasin
1562414462 28 1458 7 14 5 54 bidet
1552733246 16 1458 3 11 5 92 washbasin
1561531107 20 1457 6 8 2 78 bidet
1568443549 19 1454 9 8 5 78 bidet
1550417884 26 1453 2 16 6 60 washbasin
1559543357 27 1451 6 8 0 58 washbasin
1560094422 38 1450 6 17 6 49 washbasin
1558372022 17 1449 5 19 0 90 kitchenfaucet
1564556913 41 1449 7 9 2 38 washbasin
1562566388 23 1448 7 8 0 65 kitchenfaucet
1565099346 10 1448 8 15 1 164 kitchenfaucet
1569780414 23 1447 9 20 6 67 bidet
1570259078 31 1447 10 9 5 49 bidet
1569564510 47 1445 9 8 4 33 bidet
1551444362 38 1443 3 13 4 42 washbasin
1551538743 33 1442 3 15 5 47 washbasin
1556267205 24 1440 4 10 4 65 kitchenfaucet
1570274068 26 1440 10 13 5 67 kitchenfaucet
1553149956 40 1437 3 7 3 38 bidet
1558099559 28 1436 5 15 4 54 bidet
1555480166 65 1435 4 7 2 27 kitchenfaucet
1550687564 26 1435 2 19 2 60 washbasin
1552978739 34 1432 3 7 1 47 bidet
1567541083 26 1430 9 22 1 58 bidet
1572262197 25 1429 10 12 0 60 bidet
