duration liters month hour day max_flow fixture num_fixture av_flow_rate sec_from_midnight
22 1045 4 4 5 49 washbasin 4 47.5 8457
21 1044 2 23 0 51 washbasin 4 49.7142857142857 79694
26 1043 2 18 2 45 washbasin 4 40.1153846153846 61953
56 1039 9 22 6 22 washbasin 4 18.5535714285714 74938
27 1037 2 8 3 42 washbasin 4 38.4074074074074 28528
32 1037 3 16 5 36 washbasin 4 32.40625 57292
38 1033 7 18 2 31 washbasin 4 27.1842105263158 58293
23 1033 9 15 1 49 washbasin 4 44.9130434782609 48251
29 1033 10 11 6 38 washbasin 4 35.6206896551724 34489
30 1031 9 8 2 38 washbasin 4 34.3666666666667 21753
22 1030 9 20 1 49 washbasin 4 46.8181818181818 65205
71 1028 8 18 0 18 washbasin 4 14.4788732394366 60278
25 1016 6 8 3 45 washbasin 4 40.64 24295
36 1015 5 10 6 31 washbasin 4 28.1944444444444 30210
30 1014 4 8 0 36 washbasin 4 33.8 23585
31 1009 4 12 4 36 washbasin 4 32.5483870967742 36888
14 1009 10 15 3 81 washbasin 4 72.0714285714286 50351
15 998 10 21 1 72 washbasin 4 66.5333333333333 70688
22 994 6 17 0 49 washbasin 4 45.1818181818182 56745
22 993 10 9 6 47 washbasin 4 45.1363636363636 28353
32 987 6 9 4 33 washbasin 4 30.84375 25486
17 986 2 21 2 69 washbasin 4 58 75094
66 984 6 11 1 18 washbasin 4 14.9090909090909 35374
25 983 8 20 2 42 washbasin 4 39.32 66335
29 982 9 8 1 38 washbasin 4 33.8620689655172 22250
14 982 10 8 2 76 washbasin 4 70.1428571428571 22672
11 980 6 17 4 92 washbasin 4 89.0909090909091 54925
60 979 5 0 1 20 washbasin 4 16.3166666666667 82628
33 974 4 8 1 31 washbasin 4 29.5151515151515 22441
26 973 9 11 2 40 washbasin 4 37.4230769230769 34768
30 971 4 8 2 33 washbasin 4 32.3666666666667 24213
27 969 8 20 1 54 washbasin 4 35.8888888888889 65804
22 964 3 17 0 47 washbasin 4 43.8181818181818 59741
33 963 4 17 1 33 washbasin 4 29.1818181818182 57542
20 963 6 19 3 51 washbasin 4 48.15 64123
39 961 3 22 6 31 washbasin 4 24.6410256410256 77025
34 961 5 10 6 29 washbasin 4 28.2647058823529 29048
29 959 6 21 5 112 washbasin 4 33.0689655172414 69044
23 957 9 11 3 45 washbasin 4 41.6086956521739 35601
11 954 9 7 0 123 washbasin 4 86.7272727272727 20144
66 953 8 21 4 18 washbasin 4 14.4393939393939 71129
31 951 7 11 5 36 washbasin 4 30.6774193548387 34169
26 951 10 9 5 40 washbasin 4 36.5769230769231 28254
36 950 3 8 0 31 washbasin 4 26.3888888888889 26553
19 942 2 14 1 54 washbasin 4 49.5789473684211 47779
21 941 10 16 5 49 washbasin 4 44.8095238095238 53453
22 939 6 5 5 45 washbasin 4 42.6818181818182 10933
12 939 6 15 5 81 washbasin 4 78.25 46913
22 939 7 17 2 45 washbasin 4 42.6818181818182 55899
21 937 8 19 4 47 washbasin 4 44.6190476190476 63875
23 933 2 9 0 42 washbasin 4 40.5652173913044 28819
28 933 4 13 0 38 washbasin 4 33.3214285714286 42818
